#_in-n-outs,Pop_2021,total_mileage_of_freeways,densityMi,growthSince2010,#_BurgerKing,#_innout_state,median_income_capita,GDP _capita,Percent_Change_GDP,percent_white,GDP_tate,CA_Dummy,innout_tree
0,41602,130.701,38.35819521,0.009132752,0,39,22857,46,3.1,90.5,1876327.80,0,0
0,41215,53.542,48.728,0.109269714,1,39,19969,52,8.6,89.7,1876327.80,0,0
0,40781,125.926,70.95368782,0.052328983,0,39,19178,21,0.8,86.4,1876327.80,0,0
0,40720,173.58,51.00241255,0.141526499,1,3,21264,43,6.1,83.3,234806.20,0,0
0,40095,133.73,69.22352941,0.081305295,1,267,20405,40,2,89.7,2885627.30,1,0
0,39203,106.614,44.28439306,-0.062001077,1,39,21830,34,2.4,76.3,1876327.80,0,0
0,38145,33.57,8.420073545,0.045835572,1,34,29363,32,15.8,81.7,356417.00,0,0
0,38085,116.755,40.35169492,-0.000367396,1,39,23421,35,1.6,86.3,1876327.80,0,0
0,36666,132.361,48.59973924,0.060151873,1,39,21654,42,2.1,93.7,1876327.80,0,0
0,36323,98.906,33.04666057,-0.015857446,0,39,16780,57,-0.3,85.5,1876327.80,0,0
0,35686,178.058,37.65172054,0.02904044,0,39,27512,29,7.8,83.9,1876327.80,0,0
0,35561,80.658,60.31788079,0.080491132,27,39,24572,55,4.4,81.2,1876327.80,0,0
0,35488,9.346238902,8.15015618,0.120934086,1,12,28080,49,-2.5,98.7,191965.20,0,0
0,35453,181.464,40.61391695,0.066991007,0,39,21772,24,2.7,95.4,1876327.80,0,0
0,34620,123.59,38.64039956,-0.005626642,0,39,36277,252,2.4,73.6,1876327.80,0,0
0,34028,3.365558881,32.42650807,0.62201445,0,12,19586,30,10.4,93.5,191965.20,0,0
0,33369,124.212,34.25026624,-0.099383926,1,39,20310,29,-0.5,66.7,1876327.80,0,0
0,32879,97.325,31.24079602,-0.134425054,2,39,27987,40,-1.4,97.1,1876327.80,0,0
0,31327,89.308,76.15763547,-0.043731057,1,39,21002,58,11.4,79.9,1876327.80,0,0
0,31313,410.88,3.201072115,0.010730368,1,3,25235,38,-7.6,94,234806.20,0,0
0,31191,112.32,35.00454545,-0.033175355,0,39,20858,24,-2.7,84.2,1876327.80,0,0
