Pop_2021,total_mileage_of_freeways,densityMi,growthSince2010,#_BurgerKing,GDP_of_State,#_innout_state,median_income_capita,GDP _capita,Percent_Change_GDP,percent_white,CA_Dummy
26722.0000000000,81.0040000000,46.9168110919,0.0401521555,1.0000000000,367776.0000000000,0.0000000000,20949.0000000000,32.7014819250,4.0000000000,93.9000000000,0.0000000000
56803.0000000000,75.2180000000,116.4024640657,-0.0025513346,5.0000000000,367776.0000000000,0.0000000000,21259.0000000000,25.3440311251,4.5000000000,96.4000000000,0.0000000000
17912.0000000000,57.8600000000,32.9981238274,-0.0638207271,1.0000000000,367776.0000000000,0.0000000000,18998.0000000000,30.8231911568,-1.6000000000,47.3000000000,0.0000000000
27800.0000000000,75.2180000000,53.5826923077,0.0033850697,1.0000000000,367776.0000000000,0.0000000000,19847.0000000000,24.5645683453,10.6000000000,89.4000000000,0.0000000000
32298.0000000000,81.0040000000,57.2241992883,-0.0052582740,1.0000000000,367776.0000000000,0.0000000000,21941.0000000000,35.6141866369,4.6000000000,89.6000000000,0.0000000000
24848.0000000000,81.0040000000,40.8447712418,0.0124341839,0.0000000000,367776.0000000000,0.0000000000,18147.0000000000,18.0899066323,6.4000000000,92.4000000000,0.0000000000
8238.0000000000,28.9300000000,41.2050000000,-0.0219558509,0.0000000000,367776.0000000000,0.0000000000,19230.0000000000,16.1500364166,1.1000000000,93.9000000000,0.0000000000
18956.0000000000,63.6460000000,36.0169491525,0.0316646887,0.0000000000,367776.0000000000,0.0000000000,21883.0000000000,34.4142224098,0.9000000000,94.4000000000,0.0000000000
11626.0000000000,52.0740000000,37.5760517799,-0.0023199863,0.0000000000,367776.0000000000,0.0000000000,18452.0000000000,17.5854980217,4.7000000000,97.0000000000,0.0000000000
54358.0000000000,69.4320000000,202.4254545455,0.0828680919,1.0000000000,367776.0000000000,0.0000000000,21603.0000000000,29.6091467677,5.4000000000,95.4000000000,0.0000000000
17912.0000000000,34.7160000000,59.9261744966,-0.0211576409,1.0000000000,367776.0000000000,0.0000000000,17273.0000000000,21.4076038410,3.2000000000,95.9000000000,0.0000000000
475286.0000000000,156.2220000000,970.4586614173,0.1405908020,17.0000000000,367776.0000000000,0.0000000000,28255.0000000000,56.2098757380,7.8000000000,86.0000000000,0.0000000000
7187.0000000000,23.1440000000,40.6987951807,-0.1373850868,0.0000000000,367776.0000000000,0.0000000000,11875.0000000000,18.0347850285,10.8000000000,68.6000000000,0.0000000000
25406.0000000000,52.0740000000,51.5720338983,-0.1248606867,0.0000000000,367776.0000000000,0.0000000000,15715.0000000000,25.5026371723,5.0000000000,62.2000000000,0.0000000000
43967.0000000000,104.1480000000,72.6839546191,0.0711027252,0.0000000000,367776.0000000000,0.0000000000,19298.0000000000,22.9560579526,9.4000000000,95.5000000000,0.0000000000
12485.0000000000,28.9300000000,45.0638297872,0.0449798536,0.0000000000,367776.0000000000,0.0000000000,17962.0000000000,22.7530636764,8.0000000000,95.3000000000,0.0000000000
35042.0000000000,86.7900000000,62.9947368421,0.0763166572,1.0000000000,367776.0000000000,0.0000000000,21686.0000000000,29.3939558244,7.6000000000,89.6000000000,0.0000000000
54349.0000000000,46.2880000000,247.9694323144,0.1694744213,1.0000000000,367776.0000000000,0.0000000000,28191.0000000000,36.8677804559,4.1000000000,95.5000000000,0.0000000000
24954.0000000000,81.0040000000,85.0390879479,0.1734537936,1.0000000000,367776.0000000000,0.0000000000,17386.0000000000,80.7549090326,5.7000000000,96.0000000000,0.0000000000
98373.0000000000,75.2180000000,177.7055655296,0.0069994099,1.0000000000,367776.0000000000,0.0000000000,23398.0000000000,5.2665467151,3.9000000000,59.0000000000,0.0000000000
28679.0000000000,57.8600000000,58.2670682731,0.0276233311,0.0000000000,367776.0000000000,0.0000000000,21127.0000000000,17.4150423655,3.9000000000,93.2000000000,0.0000000000
33909.0000000000,75.2180000000,94.4746666667,0.1571349250,4.0000000000,367776.0000000000,0.0000000000,21241.0000000000,170.6105163821,8.2000000000,90.1000000000,0.0000000000
99011.0000000000,34.7160000000,174.5187601958,0.3214585701,0.0000000000,367776.0000000000,0.0000000000,23259.0000000000,7.3870075042,1.8000000000,84.4000000000,0.0000000000
53065.0000000000,52.0740000000,124.6023255814,0.0251214939,1.0000000000,367776.0000000000,0.0000000000,20615.0000000000,23.4898897578,10.0000000000,92.7000000000,0.0000000000
25916.0000000000,81.0040000000,45.8312611012,-0.0104314477,7.0000000000,367776.0000000000,0.0000000000,17516.0000000000,160.5138524464,8.9000000000,91.5000000000,0.0000000000
12622.0000000000,34.7160000000,66.9641025641,0.1110354803,0.0000000000,367776.0000000000,0.0000000000,18465.0000000000,19.4375693234,6.0000000000,95.7000000000,0.0000000000
46041.0000000000,81.0040000000,73.5361635220,0.0505402188,1.0000000000,367776.0000000000,0.0000000000,19880.0000000000,30.5634977520,12.1000000000,94.8000000000,0.0000000000
216172.0000000000,75.2180000000,434.8627087199,0.3601209301,5.0000000000,367776.0000000000,0.0000000000,22867.0000000000,25.3269017264,5.8000000000,70.9000000000,0.0000000000
6481.0000000000,23.1440000000,50.3178294574,0.0202766426,0.0000000000,367776.0000000000,0.0000000000,25687.0000000000,85.9706835365,10.3000000000,94.6000000000,0.0000000000
21158.0000000000,40.5020000000,39.7509578544,-0.0562605176,0.0000000000,367776.0000000000,0.0000000000,16927.0000000000,14.4324605350,8.5000000000,94.1000000000,0.0000000000
30722.0000000000,75.2180000000,55.9284403670,-0.0416889364,1.0000000000,367776.0000000000,0.0000000000,21929.0000000000,38.9348024217,10.3000000000,86.7000000000,0.0000000000
22364.0000000000,63.6460000000,52.2863741339,0.0252230222,0.0000000000,367776.0000000000,0.0000000000,18679.0000000000,22.9876587373,5.3000000000,97.4000000000,0.0000000000
8313.0000000000,40.5020000000,20.4843373494,0.0740366393,0.0000000000,367776.0000000000,0.0000000000,16597.0000000000,18.7008300253,-0.9000000000,93.8000000000,0.0000000000
5021.0000000000,28.9300000000,30.5337423313,-0.0196966713,0.0000000000,367776.0000000000,0.0000000000,20590.0000000000,27.1218880701,6.6000000000,98.4000000000,0.0000000000
17502.0000000000,57.8600000000,40.8275862069,0.0555720654,0.0000000000,367776.0000000000,0.0000000000,20825.0000000000,16.1733516170,7.2000000000,96.5000000000,0.0000000000
78955.0000000000,63.6460000000,204.7705735661,0.1353963579,5.0000000000,367776.0000000000,0.0000000000,21470.0000000000,43.0630992337,7.4000000000,93.5000000000,0.0000000000
32723.0000000000,46.2880000000,105.3587301587,0.0433525103,0.0000000000,367776.0000000000,0.0000000000,19764.0000000000,43.8547504813,3.6000000000,94.7000000000,0.0000000000
53313.0000000000,63.6460000000,147.2853185596,-0.0186596777,0.0000000000,367776.0000000000,0.0000000000,23478.0000000000,46.0662690151,5.2000000000,94.3000000000,0.0000000000
72309.0000000000,69.4320000000,157.0567226891,0.1278759260,2.0000000000,367776.0000000000,0.0000000000,24049.0000000000,33.3366109336,8.5000000000,89.3000000000,0.0000000000
335595.0000000000,92.5760000000,589.9030694669,0.3904967175,11.0000000000,367776.0000000000,0.0000000000,25057.0000000000,50.7590309748,11.1000000000,77.2000000000,0.0000000000
21855.0000000000,46.2880000000,40.8571428571,-0.0221342451,1.0000000000,367776.0000000000,0.0000000000,17680.0000000000,25.1714024251,9.2000000000,98.1000000000,0.0000000000
15727.0000000000,28.9300000000,61.4248120301,0.1578089569,0.0000000000,367776.0000000000,0.0000000000,22300.0000000000,18.1753672029,5.9000000000,96.5000000000,0.0000000000
98088.0000000000,86.7900000000,170.1973018550,0.1227958927,5.0000000000,367776.0000000000,0.0000000000,22125.0000000000,42.5276996167,15.1000000000,95.2000000000,0.0000000000
929178.0000000000,81.0040000000,1219.3630406291,0.0029429393,34.0000000000,367776.0000000000,0.0000000000,25913.0000000000,63.0325341323,6.1000000000,41.1000000000,0.0000000000
19820.0000000000,46.2880000000,64.0955414013,0.0500886987,0.0000000000,367776.0000000000,0.0000000000,21354.0000000000,34.9340060545,2.7000000000,95.2000000000,0.0000000000
13569.0000000000,40.5020000000,29.9694989107,0.0324226959,0.0000000000,367776.0000000000,0.0000000000,21598.0000000000,50.3687080846,5.0000000000,94.3000000000,0.0000000000
157843.0000000000,98.3620000000,383.9346246973,0.0111080645,4.0000000000,367776.0000000000,0.0000000000,24085.0000000000,45.5433753793,6.2000000000,94.9000000000,0.0000000000
193036.0000000000,81.0040000000,391.2533081285,0.2883874381,3.0000000000,367776.0000000000,0.0000000000,28393.0000000000,34.5483277731,8.3000000000,88.2000000000,0.0000000000
60868.0000000000,63.6460000000,133.0502183406,-0.0023575253,3.0000000000,367776.0000000000,0.0000000000,23205.0000000000,19.3813005192,7.8000000000,78.1000000000,0.0000000000
11463.0000000000,17.3580000000,111.7280701754,0.6184243964,0.0000000000,367776.0000000000,0.0000000000,20298.0000000000,15.3355142633,3.5000000000,85.7000000000,0.0000000000
17891.0000000000,23.1440000000,95.7741935484,-0.0272484028,0.0000000000,367776.0000000000,0.0000000000,21162.0000000000,28.9983231793,6.9000000000,97.4000000000,0.0000000000
19597.0000000000,34.7160000000,89.3258928571,0.0470982260,0.0000000000,367776.0000000000,0.0000000000,18053.0000000000,15.4002653467,6.2000000000,97.4000000000,0.0000000000
6083.0000000000,23.1440000000,23.2747252747,0.1452775775,0.0000000000,367776.0000000000,0.0000000000,19945.0000000000,15.6008548414,4.2000000000,97.0000000000,0.0000000000
40801.0000000000,63.6460000000,95.3487297921,0.0363211928,1.0000000000,367776.0000000000,0.0000000000,20048.0000000000,32.2047498836,6.4000000000,93.1000000000,0.0000000000
132067.0000000000,81.0040000000,417.1993865031,0.1059367860,7.0000000000,367776.0000000000,0.0000000000,26083.0000000000,45.5980600756,9.1000000000,91.4000000000,0.0000000000
16350.0000000000,75.2180000000,21.7915531335,-0.0602784795,0.0000000000,367776.0000000000,0.0000000000,15812.0000000000,18.7036697248,-1.3000000000,91.8000000000,0.0000000000
32948.0000000000,86.7900000000,55.6310344828,-0.0786670855,1.0000000000,367776.0000000000,0.0000000000,19516.0000000000,35.6107199223,5.8000000000,89.0000000000,0.0000000000
27134.0000000000,63.6460000000,73.7506631300,0.0759645525,1.0000000000,367776.0000000000,0.0000000000,17529.0000000000,25.4112921058,7.1000000000,95.5000000000,0.0000000000
242386.0000000000,75.2180000000,458.1269296741,0.4580471880,5.0000000000,367776.0000000000,0.0000000000,42675.0000000000,98.9586197223,10.5000000000,88.7000000000,0.0000000000
144748.0000000000,86.7900000000,276.4605954466,0.3848131026,3.0000000000,367776.0000000000,0.0000000000,28435.0000000000,38.7884323099,11.0000000000,88.6000000000,0.0000000000
